id,section,word,meaning,example,exampleJa,category,note
725,5,a wide range of,幅広い〜,The phrase “a wide range of” helps organize information in academic prose.,「a wide range of（幅広い〜）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
726,5,a broad range of,幅広い〜,The phrase “a broad range of” helps organize information in academic prose.,「a broad range of（幅広い〜）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
727,5,a limited range of,限られた範囲の〜,The phrase “a limited range of” helps organize information in academic prose.,「a limited range of（限られた範囲の〜）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
728,5,a combination of,〜の組み合わせ,The phrase “a combination of” helps organize information in academic prose.,「a combination of（〜の組み合わせ）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
729,5,a mixture of,〜の混合,The phrase “a mixture of” helps organize information in academic prose.,「a mixture of（〜の混合）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
730,5,a pattern of,〜のパターン,The phrase “a pattern of” helps organize information in academic prose.,「a pattern of（〜のパターン）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
731,5,a process of,〜の過程,The phrase “a process of” helps organize information in academic prose.,「a process of（〜の過程）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
732,5,a form of evidence,一形態の証拠,The phrase “a form of evidence” helps organize information in academic prose.,「a form of evidence（一形態の証拠）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
733,5,a line of reasoning,一つの推論の流れ,The phrase “a line of reasoning” helps organize information in academic prose.,「a line of reasoning（一つの推論の流れ）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
734,5,a line of argument,一つの論証の流れ,The phrase “a line of argument” helps organize information in academic prose.,「a line of argument（一つの論証の流れ）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
735,5,a chain of reasoning,一連の推論,The phrase “a chain of reasoning” helps organize information in academic prose.,「a chain of reasoning（一連の推論）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
736,5,a set of assumptions,一組の前提,The phrase “a set of assumptions” helps organize information in academic prose.,「a set of assumptions（一組の前提）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
737,5,a set of conditions,一組の条件,The phrase “a set of conditions” helps organize information in academic prose.,「a set of conditions（一組の条件）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
738,5,a set of criteria,一組の基準,The phrase “a set of criteria” helps organize information in academic prose.,「a set of criteria（一組の基準）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
739,5,a central feature of,〜の中心的特徴,The phrase “a central feature of” helps organize information in academic prose.,「a central feature of（〜の中心的特徴）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
740,5,a key aspect of,〜の重要な側面,The phrase “a key aspect of” helps organize information in academic prose.,「a key aspect of（〜の重要な側面）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
741,5,a central problem in,〜における中心問題,The phrase “a central problem in” helps organize information in academic prose.,「a central problem in（〜における中心問題）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
742,5,a major issue in,〜における主要問題,The phrase “a major issue in” helps organize information in academic prose.,「a major issue in（〜における主要問題）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
743,5,a key distinction between A and B,AとBの重要な区別,The phrase “a key distinction between A and B” helps organize information in academic prose.,「a key distinction between A and B（AとBの重要な区別）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
744,5,a close relation between A and B,AとBの密接な関係,The phrase “a close relation between A and B” helps organize information in academic prose.,「a close relation between A and B（AとBの密接な関係）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
745,5,the broader context of,〜のより広い文脈,The phrase “the broader context of” helps organize information in academic prose.,「the broader context of（〜のより広い文脈）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
746,5,the wider literature on,〜についてのより広い文献,The phrase “the wider literature on” helps organize information in academic prose.,「the wider literature on（〜についてのより広い文献）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
747,5,the current debate over,〜をめぐる現在の論争,The phrase “the current debate over” helps organize information in academic prose.,「the current debate over（〜をめぐる現在の論争）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
748,5,the existing account of,〜についての既存の説明,The phrase “the existing account of” helps organize information in academic prose.,「the existing account of（〜についての既存の説明）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
749,5,the standard view of,〜についての標準的見解,The phrase “the standard view of” helps organize information in academic prose.,「the standard view of（〜についての標準的見解）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
750,5,the traditional account of,〜についての伝統的説明,The phrase “the traditional account of” helps organize information in academic prose.,「the traditional account of（〜についての伝統的説明）」は学術英文の情報構造を捉えるのに重要である。,Reference and structure,指示・数量・抽象名詞句を塊として読む。
751,6,in terms of,〜の観点から；〜に関して,The academic frame “in terms of” is common in research writing and reading.,「in terms of（〜の観点から；〜に関して）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
752,6,with reference to,〜を参照して；〜に関して,The academic frame “with reference to” is common in research writing and reading.,「with reference to（〜を参照して；〜に関して）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
753,6,in connection with,〜との関連で,The academic frame “in connection with” is common in research writing and reading.,「in connection with（〜との関連で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
754,6,in the context of,〜という文脈で,The academic frame “in the context of” is common in research writing and reading.,「in the context of（〜という文脈で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
755,6,within the context of,〜という文脈の中で,The academic frame “within the context of” is common in research writing and reading.,「within the context of（〜という文脈の中で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
756,6,from the perspective of,〜の観点から,The academic frame “from the perspective of” is common in research writing and reading.,「from the perspective of（〜の観点から）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
757,6,from the standpoint of,〜の立場から,The academic frame “from the standpoint of” is common in research writing and reading.,「from the standpoint of（〜の立場から）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
758,6,on the basis of,〜に基づいて,The academic frame “on the basis of” is common in research writing and reading.,「on the basis of（〜に基づいて）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
759,6,by reference to,〜を参照することによって,The academic frame “by reference to” is common in research writing and reading.,「by reference to（〜を参照することによって）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
760,6,by virtue of,〜であることによって；〜ゆえに,The academic frame “by virtue of” is common in research writing and reading.,「by virtue of（〜であることによって；〜ゆえに）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
761,6,in virtue of,〜であることによって,The academic frame “in virtue of” is common in research writing and reading.,「in virtue of（〜であることによって）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
762,6,in accordance with,〜に従って；〜と一致して,The academic frame “in accordance with” is common in research writing and reading.,「in accordance with（〜に従って；〜と一致して）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
763,6,in line with,〜と一致して,The academic frame “in line with” is common in research writing and reading.,「in line with（〜と一致して）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
764,6,in keeping with,〜と一致して,The academic frame “in keeping with” is common in research writing and reading.,「in keeping with（〜と一致して）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
765,6,in comparison to,〜と比較して,The academic frame “in comparison to” is common in research writing and reading.,「in comparison to（〜と比較して）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
766,6,in addition to,〜に加えて,The academic frame “in addition to” is common in research writing and reading.,「in addition to（〜に加えて）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
767,6,in the presence of,〜がある場合に,The academic frame “in the presence of” is common in research writing and reading.,「in the presence of（〜がある場合に）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
768,6,in light of,〜に照らして,The academic frame “in light of” is common in research writing and reading.,「in light of（〜に照らして）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
769,6,in view of,〜を考慮すると,The academic frame “in view of” is common in research writing and reading.,「in view of（〜を考慮すると）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
770,6,in support of,〜を支持して,The academic frame “in support of” is common in research writing and reading.,「in support of（〜を支持して）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
771,6,on the grounds that,〜という理由で,The academic frame “on the grounds that” is common in research writing and reading.,「on the grounds that（〜という理由で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
772,6,for the purpose of,〜する目的で,The academic frame “for the purpose of” is common in research writing and reading.,「for the purpose of（〜する目的で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
773,6,for the sake of,〜のために,The academic frame “for the sake of” is common in research writing and reading.,「for the sake of（〜のために）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
774,6,with the aim of,〜することを目的として,The academic frame “with the aim of” is common in research writing and reading.,「with the aim of（〜することを目的として）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
775,6,with a view to,〜することを目的として,The academic frame “with a view to” is common in research writing and reading.,「with a view to（〜することを目的として）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
776,6,in order for A to B,AがBするためには,The academic frame “in order for A to B” is common in research writing and reading.,「in order for A to B（AがBするためには）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
777,6,in such a way that,〜するような仕方で,The academic frame “in such a way that” is common in research writing and reading.,「in such a way that（〜するような仕方で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
778,6,in a way that,〜するような仕方で,The academic frame “in a way that” is common in research writing and reading.,「in a way that（〜するような仕方で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
779,6,to some extent,ある程度,The academic frame “to some extent” is common in research writing and reading.,「to some extent（ある程度）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
780,6,to a large extent,かなりの程度,The academic frame “to a large extent” is common in research writing and reading.,「to a large extent（かなりの程度）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
781,6,to a certain extent,ある程度,The academic frame “to a certain extent” is common in research writing and reading.,「to a certain extent（ある程度）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
782,6,to a limited extent,限定的な程度で,The academic frame “to a limited extent” is common in research writing and reading.,「to a limited extent（限定的な程度で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
783,6,at the level of,〜のレベルで,The academic frame “at the level of” is common in research writing and reading.,「at the level of（〜のレベルで）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
784,6,at the expense of,〜を犠牲にして,The academic frame “at the expense of” is common in research writing and reading.,「at the expense of（〜を犠牲にして）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
785,6,at the cost of,〜を代償として,The academic frame “at the cost of” is common in research writing and reading.,「at the cost of（〜を代償として）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
786,6,on the assumption that,〜という前提で,The academic frame “on the assumption that” is common in research writing and reading.,「on the assumption that（〜という前提で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
787,6,under the assumption that,〜という前提のもとで,The academic frame “under the assumption that” is common in research writing and reading.,「under the assumption that（〜という前提のもとで）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
788,6,under conditions of,〜という条件下で,The academic frame “under conditions of” is common in research writing and reading.,「under conditions of（〜という条件下で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
789,6,under the conditions of,〜という条件下で,The academic frame “under the conditions of” is common in research writing and reading.,「under the conditions of（〜という条件下で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
790,6,within the limits of,〜の限界内で,The academic frame “within the limits of” is common in research writing and reading.,「within the limits of（〜の限界内で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
791,6,beyond the scope of,〜の範囲を超えて,The academic frame “beyond the scope of” is common in research writing and reading.,「beyond the scope of（〜の範囲を超えて）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
792,6,in the form of,〜の形で,The academic frame “in the form of” is common in research writing and reading.,「in the form of（〜の形で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
793,6,in the process of,〜する過程で,The academic frame “in the process of” is common in research writing and reading.,「in the process of（〜する過程で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
794,6,in the course of,〜する過程で,The academic frame “in the course of” is common in research writing and reading.,「in the course of（〜する過程で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
795,6,in the field of,〜の分野で,The academic frame “in the field of” is common in research writing and reading.,「in the field of（〜の分野で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
796,6,in the area of,〜の領域で,The academic frame “in the area of” is common in research writing and reading.,「in the area of（〜の領域で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
797,6,in the domain of,〜の領域で,The academic frame “in the domain of” is common in research writing and reading.,「in the domain of（〜の領域で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
798,6,in the literature on,〜についての先行研究で,The academic frame “in the literature on” is common in research writing and reading.,「in the literature on（〜についての先行研究で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
799,6,in previous work,先行研究で,The academic frame “in previous work” is common in research writing and reading.,「in previous work（先行研究で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
800,6,in earlier work,以前の研究で,The academic frame “in earlier work” is common in research writing and reading.,「in earlier work（以前の研究で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
801,6,in recent work,近年の研究で,The academic frame “in recent work” is common in research writing and reading.,「in recent work（近年の研究で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
802,6,in the present study,本研究では,The academic frame “in the present study” is common in research writing and reading.,「in the present study（本研究では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
803,6,in the present paper,本論文では,The academic frame “in the present paper” is common in research writing and reading.,「in the present paper（本論文では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
804,6,in this paper,本論文では,The academic frame “in this paper” is common in research writing and reading.,「in this paper（本論文では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
805,6,in this section,本節では,The academic frame “in this section” is common in research writing and reading.,「in this section（本節では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
806,6,in the following section,次節では,The academic frame “in the following section” is common in research writing and reading.,「in the following section（次節では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
807,6,in what follows,以下では,The academic frame “in what follows” is common in research writing and reading.,「in what follows（以下では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
808,6,in the discussion below,以下の議論では,The academic frame “in the discussion below” is common in research writing and reading.,「in the discussion below（以下の議論では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
809,6,as discussed below,以下で論じるように,The academic frame “as discussed below” is common in research writing and reading.,「as discussed below（以下で論じるように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
810,6,as discussed above,上で論じたように,The academic frame “as discussed above” is common in research writing and reading.,「as discussed above（上で論じたように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
811,6,as noted above,上で指摘したように,The academic frame “as noted above” is common in research writing and reading.,「as noted above（上で指摘したように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
812,6,as noted earlier,先に指摘したように,The academic frame “as noted earlier” is common in research writing and reading.,「as noted earlier（先に指摘したように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
813,6,as mentioned above,上で述べたように,The academic frame “as mentioned above” is common in research writing and reading.,「as mentioned above（上で述べたように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
814,6,as shown below,以下に示すように,The academic frame “as shown below” is common in research writing and reading.,「as shown below（以下に示すように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
815,6,as shown above,上に示したように,The academic frame “as shown above” is common in research writing and reading.,「as shown above（上に示したように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
816,6,as we shall see,以下で見るように,The academic frame “as we shall see” is common in research writing and reading.,「as we shall see（以下で見るように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
817,6,as we have seen,これまで見てきたように,The academic frame “as we have seen” is common in research writing and reading.,「as we have seen（これまで見てきたように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
818,6,as described above,上で記述したように,The academic frame “as described above” is common in research writing and reading.,「as described above（上で記述したように）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
819,6,in what sense,どの意味で,The academic frame “in what sense” is common in research writing and reading.,「in what sense（どの意味で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
820,6,in this respect,この点で,The academic frame “in this respect” is common in research writing and reading.,「in this respect（この点で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
821,6,in that respect,その点で,The academic frame “in that respect” is common in research writing and reading.,「in that respect（その点で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
822,6,in several respects,いくつかの点で,The academic frame “in several respects” is common in research writing and reading.,「in several respects（いくつかの点で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
823,6,in one important respect,一つの重要な点で,The academic frame “in one important respect” is common in research writing and reading.,「in one important respect（一つの重要な点で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
824,6,from this perspective,この観点から,The academic frame “from this perspective” is common in research writing and reading.,「from this perspective（この観点から）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
825,6,from this point of view,この観点から,The academic frame “from this point of view” is common in research writing and reading.,「from this point of view（この観点から）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
826,6,for present purposes,現在の目的のためには,The academic frame “for present purposes” is common in research writing and reading.,「for present purposes（現在の目的のためには）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
827,6,for our purposes,我々の目的のためには,The academic frame “for our purposes” is common in research writing and reading.,「for our purposes（我々の目的のためには）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
828,6,for the present discussion,現在の議論では,The academic frame “for the present discussion” is common in research writing and reading.,「for the present discussion（現在の議論では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
829,6,for current purposes,現在の目的では,The academic frame “for current purposes” is common in research writing and reading.,「for current purposes（現在の目的では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
830,6,at issue here,ここで問題となっている,The academic frame “at issue here” is common in research writing and reading.,「at issue here（ここで問題となっている）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
831,6,the issue at hand,当面の問題,The academic frame “the issue at hand” is common in research writing and reading.,「the issue at hand（当面の問題）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
832,6,the question at hand,当面の問い,The academic frame “the question at hand” is common in research writing and reading.,「the question at hand（当面の問い）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
833,6,in the relevant literature,関連文献では,The academic frame “in the relevant literature” is common in research writing and reading.,「in the relevant literature（関連文献では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
834,6,in the existing literature,既存文献では,The academic frame “in the existing literature” is common in research writing and reading.,「in the existing literature（既存文献では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
835,6,in the philosophical literature,哲学文献では,The academic frame “in the philosophical literature” is common in research writing and reading.,「in the philosophical literature（哲学文献では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
836,6,with few exceptions,少数の例外を除いて,The academic frame “with few exceptions” is common in research writing and reading.,「with few exceptions（少数の例外を除いて）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
837,6,with one important exception,一つの重要な例外を除いて,The academic frame “with one important exception” is common in research writing and reading.,「with one important exception（一つの重要な例外を除いて）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
838,6,in broad outline,大まかな輪郭では,The academic frame “in broad outline” is common in research writing and reading.,「in broad outline（大まかな輪郭では）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
839,6,in greater detail,より詳しく,The academic frame “in greater detail” is common in research writing and reading.,「in greater detail（より詳しく）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
840,6,in much the same way,ほぼ同じ仕方で,The academic frame “in much the same way” is common in research writing and reading.,「in much the same way（ほぼ同じ仕方で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
841,6,in a different way,異なる仕方で,The academic frame “in a different way” is common in research writing and reading.,「in a different way（異なる仕方で）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
842,6,X is based on Y,XはYに基づいている,The academic frame “X is based on Y” is common in research writing and reading.,「X is based on Y（XはYに基づいている）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
843,6,X is derived from Y,XはYから導かれる,The academic frame “X is derived from Y” is common in research writing and reading.,「X is derived from Y（XはYから導かれる）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
844,6,X is supported by Y,XはYによって支持される,The academic frame “X is supported by Y” is common in research writing and reading.,「X is supported by Y（XはYによって支持される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
845,6,X is explained by Y,XはYによって説明される,The academic frame “X is explained by Y” is common in research writing and reading.,「X is explained by Y（XはYによって説明される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
846,6,X is caused by Y,XはYによって引き起こされる,The academic frame “X is caused by Y” is common in research writing and reading.,「X is caused by Y（XはYによって引き起こされる）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
847,6,X is shaped by Y,XはYによって形成される,The academic frame “X is shaped by Y” is common in research writing and reading.,「X is shaped by Y（XはYによって形成される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
848,6,X is influenced by Y,XはYによって影響される,The academic frame “X is influenced by Y” is common in research writing and reading.,「X is influenced by Y（XはYによって影響される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
849,6,X is constrained by Y,XはYによって制約される,The academic frame “X is constrained by Y” is common in research writing and reading.,「X is constrained by Y（XはYによって制約される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
850,6,X is determined by Y,XはYによって決まる,The academic frame “X is determined by Y” is common in research writing and reading.,「X is determined by Y（XはYによって決まる）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
851,6,X is mediated by Y,XはYによって媒介される,The academic frame “X is mediated by Y” is common in research writing and reading.,「X is mediated by Y（XはYによって媒介される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
852,6,X is associated with Y,XはYと関連している,The academic frame “X is associated with Y” is common in research writing and reading.,「X is associated with Y（XはYと関連している）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
853,6,X is linked to Y,XはYと結びついている,The academic frame “X is linked to Y” is common in research writing and reading.,「X is linked to Y（XはYと結びついている）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
854,6,X is related to Y,XはYと関係している,The academic frame “X is related to Y” is common in research writing and reading.,「X is related to Y（XはYと関係している）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
855,6,X is rooted in Y,XはYに根ざしている,The academic frame “X is rooted in Y” is common in research writing and reading.,「X is rooted in Y（XはYに根ざしている）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
856,6,X is grounded in Y,XはYに基礎づけられている,The academic frame “X is grounded in Y” is common in research writing and reading.,「X is grounded in Y（XはYに基礎づけられている）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
857,6,X is characterized by Y,XはYによって特徴づけられる,The academic frame “X is characterized by Y” is common in research writing and reading.,「X is characterized by Y（XはYによって特徴づけられる）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
858,6,X is defined in terms of Y,XはYによって定義される,The academic frame “X is defined in terms of Y” is common in research writing and reading.,「X is defined in terms of Y（XはYによって定義される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
859,6,X is understood in terms of Y,XはYによって理解される,The academic frame “X is understood in terms of Y” is common in research writing and reading.,「X is understood in terms of Y（XはYによって理解される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
860,6,X is interpreted as Y,XはYと解釈される,The academic frame “X is interpreted as Y” is common in research writing and reading.,「X is interpreted as Y（XはYと解釈される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
861,6,X is regarded as Y,XはYとみなされる,The academic frame “X is regarded as Y” is common in research writing and reading.,「X is regarded as Y（XはYとみなされる）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
862,6,X is treated as Y,XはYとして扱われる,The academic frame “X is treated as Y” is common in research writing and reading.,「X is treated as Y（XはYとして扱われる）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
863,6,X is presented as Y,XはYとして提示される,The academic frame “X is presented as Y” is common in research writing and reading.,「X is presented as Y（XはYとして提示される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
864,6,X is described as Y,XはYと記述される,The academic frame “X is described as Y” is common in research writing and reading.,「X is described as Y（XはYと記述される）」は研究論文で頻出する学術表現である。,Academic core,一般学術英文で頻出する定型表現。
